227 996 7
1 2 2 5
1 3 35 6
1 4 20 7
1 5 6 14
1 6 32 44
1 7 12 26
1 8 36 43
1 9 31 45
1 10 50 39
1 11 16 14
1 12 48 50
1 13 35 4
1 14 22 26
1 15 35 1
1 16 36 42
2 17 41 9
2 18 14 6
3 17 10 21
3 18 14 21
3 19 22 31
4 18 15 15
4 19 50 9
4 20 50 31
5 19 38 23
5 20 13 45
5 21 10 18
6 20 13 6
6 21 39 49
6 22 39 18
7 21 24 48
7 22 17 34
7 23 49 13
8 22 34 14
8 23 13 14
8 24 7 12
9 23 15 48
9 24 41 23
9 25 39 21
10 24 4 1
10 25 26 35
10 26 15 6
11 25 37 22
11 26 23 4
11 27 32 45
12 26 47 3
12 27 48 45
12 28 11 46
13 27 23 19
13 28 6 16
13 29 14 49
14 28 42 36
14 29 21 38
14 30 45 13
15 29 2 37
15 30 35 27
15 31 50 28
16 30 36 46
16 31 31 49
17 18 20 13
17 32 1 18
17 33 24 19
18 17 17 25
18 19 18 6
18 32 9 1
18 33 2 49
18 34 27 26
19 18 12 43
19 20 6 7
19 33 24 18
19 34 36 3
19 35 19 13
20 19 6 41
20 21 35 3
20 34 12 28
20 35 31 26
20 36 19 31
21 20 24 36
21 22 20 42
21 35 31 50
21 36 15 40
21 37 21 49
22 21 50 36
22 23 8 31
22 36 10 20
22 37 5 11
22 38 35 28
23 22 2 19
23 24 42 29
23 37 37 27
23 38 10 34
23 39 35 20
24 23 32 1
24 25 29 23
24 38 14 4
24 39 10 47
24 40 48 50
25 24 4 48
25 26 1 12
25 39 48 18
25 40 28 1
25 41 30 15
26 25 42 40
26 27 22 8
26 40 41 16
26 41 8 47
26 42 41 14
27 26 2 31
27 28 18 14
27 41 49 36
27 42 4 28
27 43 39 4
28 27 26 28
28 29 30 10
28 42 31 36
28 43 34 42
28 44 4 47
29 28 36 18
29 30 38 36
29 43 42 49
29 44 47 23
29 45 7 31
30 29 32 49
30 31 42 23
30 44 37 15
30 45 6 25
