102 416 4
1 2 6 4161
1 3 3 4161
1 4 3 4161
1 5 9 4161
1 6 5 4161
1 7 8 4161
1 8 2 4161
1 9 7 4161
1 10 3 4161
1 11 2 4161
2 12 8 4161
2 13 9 4161
3 12 9 4161
3 13 10 4161
3 14 1 4161
4 13 7 4161
4 14 5 4161
4 15 5 4161
5 14 5 4161
5 15 8 4161
5 16 6 4161
6 15 2 4161
6 16 4 4161
6 17 3 4161
7 16 3 4161
7 17 1 4161
7 18 5 4161
8 17 7 4161
8 18 4 4161
8 19 10 4161
9 18 1 4161
9 19 6 4161
9 20 3 4161
10 19 3 4161
10 20 2 4161
10 21 2 4161
11 20 7 4161
11 21 2 4161
12 13 9 4161
12 22 6 4161
12 23 2 4161
13 12 7 4161
13 14 3 4161
13 22 5 4161
13 23 6 4161
13 24 3 4161
14 13 2 4161
14 15 10 4161
14 23 5 4161
14 24 6 4161
14 25 9 4161
15 14 6 4161
15 16 4 4161
15 24 1 4161
15 25 3 4161
15 26 3 4161
16 15 10 4161
16 17 3 4161
16 25 4 4161
16 26 7 4161
16 27 2 4161
17 16 4 4161
17 18 4 4161
17 26 4 4161
17 27 4 4161
17 28 6 4161
18 17 2 4161
18 19 2 4161
18 27 6 4161
18 28 8 4161
18 29 4 4161
19 18 1 4161
19 20 1 4161
19 28 5 4161
19 29 3 4161
19 30 9 4161
20 19 5 4161
20 21 4 4161
20 29 5 4161
20 30 5 4161
20 31 8 4161
21 20 10 4161
21 30 4 4161
21 31 6 4161
22 23 6 4161
22 32 4 4161
22 33 2 4161
23 22 4 4161
23 24 3 4161
23 32 7 4161
23 33 6 4161
23 34 8 4161
24 23 9 4161
24 25 9 4161
24 33 4 4161
24 34 5 4161
24 35 6 4161
25 24 4 4161
25 26 10 4161
25 34 8 4161
25 35 8 4161
25 36 3 4161
26 25 4 4161
26 27 8 4161
26 35 3 4161
26 36 5 4161
26 37 7 4161
27 26 10 4161
27 28 2 4161
27 36 6 4161
27 37 1 4161
27 38 7 4161
28 27 5 4161
28 29 1 4161
28 37 2 4161
28 38 8 4161
28 39 5 4161
29 28 8 4161
29 30 3 4161
29 38 9 4161
29 39 7 4161
29 40 3 4161
30 29 5 4161
30 31 8 4161
30 39 8 4161
30 40 2 4161
30 41 1 4161
31 30 10 4161
31 40 1 4161
31 41 6 4161
32 33 5 4161
32 42 10 4161
32 43 1 4161
33 32 4 4161
33 34 10 4161
33 42 4 4161
33 43 4 4161
33 44 1 4161
34 33 7 4161
34 35 5 4161
34 43 2 4161
34 44 3 4161
34 45 3 4161
35 34 8 4161
35 36 9 4161
35 44 7 4161
35 45 10 4161
35 46 7 4161
36 35 2 4161
36 37 3 4161
36 45 9 4161
36 46 8 4161
36 47 1 4161
37 36 2 4161
37 38 9 4161
37 46 7 4161
37 47 1 4161
37 48 9 4161
38 37 8 4161
38 39 8 4161
38 47 4 4161
38 48 9 4161
38 49 8 4161
39 38 4 4161
39 40 4 4161
39 48 7 4161
39 49 3 4161
39 50 8 4161
40 39 8 4161
40 41 1 4161
40 49 8 4161
40 50 10 4161
40 51 7 4161
41 40 7 4161
41 50 8 4161
41 51 4 4161
42 43 5 4161
42 52 2 4161
42 53 8 4161
43 42 5 4161
43 44 6 4161
43 52 6 4161
43 53 4 4161
43 54 3 4161
44 43 6 4161
44 45 1 4161
44 53 2 4161
44 54 9 4161
44 55 5 4161
45 44 8 4161
45 46 7 4161
45 54 7 4161
45 55 4 4161
45 56 1 4161
46 45 1 4161
46 47 6 4161
46 55 6 4161
46 56 5 4161
46 57 9 4161
47 46 8 4161
47 48 1 4161
47 56 6 4161
47 57 7 4161
47 58 6 4161
48 47 8 4161
48 49 9 4161
48 57 6 4161
48 58 4 4161
48 59 5 4161
49 48 10 4161
49 50 2 4161
49 58 5 4161
49 59 6 4161
49 60 3 4161
50 49 4 4161
50 51 9 4161
50 59 10 4161
50 60 6 4161
50 61 10 4161
51 50 6 4161
51 60 10 4161
51 61 2 4161
52 53 10 4161
52 62 8 4161
52 63 4 4161
53 52 3 4161
53 54 7 4161
53 62 9 4161
53 63 8 4161
53 64 9 4161
54 53 1 4161
54 55 9 4161
54 63 3 4161
54 64 9 4161
54 65 10 4161
55 54 9 4161
55 56 9 4161
55 64 1 4161
55 65 4 4161
55 66 3 4161
56 55 7 4161
56 57 1 4161
56 65 7 4161
56 66 3 4161
56 67 2 4161
57 56 7 4161
57 58 8 4161
57 66 2 4161
57 67 10 4161
57 68 5 4161
58 57 8 4161
58 59 3 4161
58 67 3 4161
58 68 4 4161
58 69 7 4161
59 58 10 4161
59 60 9 4161
59 68 10 4161
59 69 7 4161
59 70 9 4161
60 59 9 4161
60 61 9 4161
60 69 4 4161
60 70 1 4161
60 71 6 4161
61 60 1 4161
61 70 3 4161
61 71 5 4161
62 63 5 4161
62 72 5 4161
62 73 4 4161
63 62 6 4161
63 64 9 4161
63 72 3 4161
63 73 3 4161
63 74 9 4161
64 63 9 4161
64 65 5 4161
64 73 3 4161
64 74 7 4161
64 75 8 4161
65 64 10 4161
65 66 10 4161
65 74 3 4161
65 75 7 4161
65 76 7 4161
66 65 1 4161
66 67 7 4161
66 75 1 4161
66 76 1 4161
66 77 1 4161
67 66 9 4161
67 68 3 4161
67 76 5 4161
67 77 3 4161
67 78 7 4161
68 67 2 4161
68 69 5 4161
68 77 7 4161
68 78 3 4161
68 79 3 4161
69 68 4 4161
69 70 3 4161
69 78 5 4161
69 79 5 4161
69 80 9 4161
70 69 8 4161
70 71 1 4161
70 79 2 4161
70 80 7 4161
70 81 2 4161
71 70 5 4161
71 80 7 4161
71 81 7 4161
72 73 4 4161
72 82 8 4161
72 83 4 4161
73 72 1 4161
73 74 4 4161
73 82 3 4161
73 83 9 4161
73 84 3 4161
74 73 8 4161
74 75 5 4161
74 83 6 4161
74 84 7 4161
74 85 1 4161
75 74 4 4161
75 76 1 4161
75 84 6 4161
75 85 9 4161
75 86 3 4161
76 75 10 4161
76 77 8 4161
76 85 7 4161
76 86 8 4161
76 87 2 4161
77 76 10 4161
