227 996 7
1 2 35 4
1 3 34 31
1 4 25 42
1 5 29 39
1 6 9 2
1 7 23 25
1 8 28 42
1 9 39 6
1 10 35 3
1 11 21 22
1 12 21 30
1 13 20 13
1 14 3 26
1 15 17 49
1 16 3 43
2 17 18 2
2 18 27 43
3 17 8 41
3 18 49 29
3 19 25 22
4 18 14 47
4 19 43 49
4 20 4 50
5 19 14 7
5 20 26 36
5 21 8 47
6 20 28 10
6 21 44 13
6 22 43 17
7 21 7 36
7 22 19 35
7 23 46 15
8 22 18 15
8 23 22 34
8 24 42 38
9 23 1 17
9 24 6 46
9 25 39 11
10 24 39 10
10 25 46 18
10 26 31 19
11 25 30 24
11 26 43 38
11 27 30 2
12 26 5 15
12 27 2 10
12 28 16 15
13 27 2 45
13 28 20 38
13 29 23 37
14 28 5 22
14 29 48 44
14 30 31 13
15 29 35 4
15 30 1 24
15 31 24 4
16 30 21 34
16 31 18 39
17 18 20 7
17 32 38 50
17 33 7 9
18 17 4 34
18 19 29 38
18 32 5 8
18 33 7 29
18 34 19 30
19 18 21 34
19 20 5 3
19 33 31 44
19 34 20 43
19 35 5 2
20 19 29 39
20 21 12 28
20 34 40 47
20 35 16 36
20 36 14 22
21 20 25 31
21 22 39 34
21 35 19 43
21 36 8 13
21 37 35 7
22 21 3 33
22 23 28 9
22 36 7 7
22 37 35 31
22 38 6 4
23 22 4 36
23 24 15 4
23 37 18 47
23 38 17 45
23 39 12 6
24 23 26 16
24 25 5 41
24 38 18 11
24 39 4 42
24 40 35 27
25 24 18 19
25 26 5 10
25 39 11 35
25 40 8 14
25 41 18 36
26 25 13 35
26 27 18 32
26 40 5 28
26 41 12 37
26 42 47 14
27 26 41 8
27 28 5 41
27 41 5 23
27 42 24 49
27 43 46 26
28 27 13 49
28 29 1 3
28 42 10 36
28 43 15 25
28 44 27 22
29 28 43 30
29 30 17 12
29 43 4 25
29 44 40 33
29 45 4 29
30 29 17 36
30 31 45 7
30 44 22 29
30 45 20 50
30 46 30 35
31 30 22 14
31 45 34 29
31 46 17 48
32 33 21 34
32 47 43 10
32 48 22 37
33 32 10 4
33 34 11 17
33 47 35 48
33 48 43 37
33 49 22 10
34 33 39 7
34 35 33 32
34 48 46 13
34 49 37 30
34 50 38 3
35 34 40 9
35 36 32 28
35 49 14 45
35 50 37 6
35 51 18 32
36 35 16 50
36 37 31 34
36 50 29 21
36 51 13 9
36 52 14 20
37 36 25 15
37 38 31 2
37 51 34 15
37 52 39 38
37 53 16 21
38 37 28 28
38 39 32 49
38 52 15 12
38 53 49 36
38 54 45 6
39 38 39 40
39 40 40 11
39 53 6 33
39 54 42 34
39 55 42 36
40 39 49 4
40 41 30 12
40 54 34 11
40 55 34 18
40 56 16 42
41 40 29 8
41 42 15 36
41 55 38 4
41 56 39 25
41 57 46 16
42 41 6 34
42 43 18 25
42 56 29 2
42 57 27 14
42 58 8 29
43 42 4 34
43 44 47 17
43 57 31 26
43 58 22 47
43 59 17 40
44 43 18 6
44 45 26 6
44 58 28 48
44 59 8 20
44 60 19 13
45 44 37 33
45 46 20 19
45 59 14 10
45 60 17 4
45 61 37 17
46 45 10 14
46 60 19 10
46 61 49 32
47 48 34 24
47 62 20 8
47 63 32 18
48 47 19 28
48 49 49 27
48 62 7 44
48 63 4 34
48 64 50 40
49 48 15 15
49 50 46 39
49 63 14 36
49 64 47 22
49 65 20 17
50 49 3 46
50 51 41 25
50 64 33 44
50 65 6 25
50 66 4 34
51 50 16 49
51 52 37 24
51 65 50 16
51 66 31 46
51 67 1 5
52 51 17 14
52 53 28 18
52 66 20 23
52 67 25 36
52 68 16 40
53 52 16 24
53 54 23 28
53 67 21 13
53 68 2 18
53 69 2 24
54 53 31 49
54 55 32 20
54 68 12 49
54 69 6 50
54 70 2 23
55 54 12 22
55 56 34 35
55 69 43 18
55 70 24 50
55 71 48 47
56 55 2 17
56 57 36 11
56 70 19 1
56 71 3 4
56 72 42 48
57 56 2 20
57 58 38 30
57 71 6 32
57 72 24 46
57 73 42 37
58 57 14 6
58 59 39 5
58 72 50 50
58 73 29 34
58 74 18 47
59 58 29 46
59 60 25 18
59 73 34 40
59 74 40 35
59 75 26 28
60 59 11 41
60 61 10 28
60 74 30 13
60 75 7 30
60 76 1 9
61 60 19 11
61 75 2 31
61 76 21 22
62 63 21 10
62 77 25 20
62 78 2 45
63 62 17 2
63 64 12 27
63 77 6 34
63 78 49 43
63 79 17 45
64 63 50 10
64 65 14 37
64 78 33 44
64 79 36 5
64 80 25 43
65 64 47 50
65 66 32 11
65 79 2 22
65 80 50 6
65 81 21 9
66 65 10 18
66 67 44 39
66 80 36 32
66 81 20 34
66 82 15 15
67 66 7 47
67 68 46 47
67 81 26 45
67 82 34 31
67 83 20 4
68 67 12 17
68 69 1 14
68 82 22 39
68 83 22 29
68 84 15 16
69 68 32 16
69 70 8 50
69 83 11 27
69 84 47 38
69 85 27 3
70 69 10 17
70 71 20 18
70 84 7 32
70 85 35 9
70 86 25 48
71 70 44 10
71 72 49 40
71 85 16 45
71 86 35 43
71 87 22 27
72 71 27 46
72 73 6 6
72 86 11 43
72 87 19 35
72 88 38 24
73 72 34 11
73 74 22 45
73 87 41 9
73 88 42 10
73 89 37 24
74 73 43 17
74 75 46 15
74 88 19 28
74 89 43 24
74 90 40 25
75 74 32 17
75 76 39 47
75 89 36 37
75 90 31 30
75 91 22 28
76 75 18 24
76 90 44 16
76 91 43 45
77 78 6 3
77 92 34 6
77 93 49 39
78 77 19 11
78 79 14 31
78 92 42 20
78 93 41 37
78 94 20 16
79 78 29 4
79 80 35 23
79 93 30 28
79 94 38 22
79 95 4 13
80 79 27 45
80 81 14 35
80 94 7 47
80 95 14 18
80 96 13 26
81 80 2 16
81 82 50 20
81 95 44 42
81 96 1 23
81 97 2 9
82 81 19 36
82 83 36 46
82 96 30 28
82 97 2 17
82 98 31 4
83 82 37 12
83 84 49 46
83 97 32 5
83 98 35 50
83 99 6 44
84 83 6 8
84 85 15 47
84 98 7 13
84 99 8 14
84 100 21 47
85 84 17 3
85 86 4 34
85 99 16 39
85 100 24 9
85 101 42 32
86 85 9 19
86 87 13 44
86 100 39 46
86 101 18 9
86 102 23 12
87 86 40 11
87 88 34 38
87 101 28 26
87 102 44 2
87 103 28 5
88 87 37 33
88 89 26 32
88 102 25 39
88 103 1 34
88 104 41 43
89 88 18 24
89 90 19 4
89 103 9 17
89 104 22 48
89 105 43 5
90 89 14 31
90 91 45 47
90 104 47 29
90 105 17 22
90 106 11 47
91 90 20 41
91 105 19 31
91 106 27 14
92 93 24 33
92 107 12 2
92 108 48 23
93 92 48 6
93 94 31 44
93 107 4 19
93 108 32 10
93 109 18 17
94 93 25 40
94 95 5 45
94 108 36 8
94 109 34 26
94 110 38 17
95 94 50 30
95 96 18 30
95 109 37 16
95 110 14 7
95 111 14 16
96 95 30 14
96 97 29 23
96 110 50 40
96 111 21 23
96 112 7 12
97 96 24 36
97 98 19 21
97 111 5 43
97 112 42 47
97 113 50 2
