102 416 4
1 2 7 11
1 3 1 14
1 4 4 18
1 5 4 13
1 6 8 3
1 7 3 11
1 8 7 5
1 9 2 5
1 10 3 3
1 11 8 3
2 12 3 20
2 13 1 18
3 12 4 18
3 13 5 18
3 14 2 19
4 13 5 19
4 14 6 10
4 15 8 20
5 14 7 4
5 15 9 9
5 16 4 2
6 15 7 9
6 16 8 10
6 17 9 14
7 16 4 4
7 17 1 2
7 18 9 7
8 17 6 12
8 18 1 14
8 19 6 11
9 18 6 13
9 19 2 20
9 20 7 11
10 19 4 14
10 20 6 12
10 21 1 9
11 20 6 15
11 21 4 5
12 13 7 18
12 22 5 1
12 23 5 9
13 12 1 10
13 14 5 7
13 22 9 8
13 23 4 11
13 24 5 14
14 13 9 18
14 15 4 10
14 23 10 11
14 24 3 13
14 25 4 19
15 14 4 1
15 16 6 13
15 24 3 10
15 25 9 11
15 26 9 2
16 15 5 7
16 17 10 11
16 25 6 18
16 26 4 11
16 27 4 2
17 16 4 12
17 18 1 14
17 26 6 4
17 27 7 11
17 28 3 17
18 17 10 15
18 19 5 13
18 27 3 17
18 28 10 15
18 29 6 3
19 18 7 15
19 20 4 9
19 28 9 12
19 29 5 10
19 30 2 4
20 19 2 2
20 21 5 16
20 29 7 6
20 30 8 8
20 31 4 11
21 20 2 3
21 30 5 10
21 31 5 13
22 23 3 12
22 32 4 12
22 33 7 15
23 22 2 17
23 24 1 15
23 32 10 5
23 33 9 14
23 34 1 12
24 23 7 9
24 25 3 10
24 33 9 7
24 34 7 15
24 35 8 1
25 24 9 20
25 26 4 9
25 34 4 12
25 35 2 13
25 36 6 1
26 25 1 20
26 27 7 12
26 35 7 6
26 36 8 5
26 37 5 1
27 26 8 17
27 28 1 12
27 36 9 3
27 37 1 20
27 38 3 1
28 27 7 20
28 29 2 16
28 37 8 11
28 38 6 3
28 39 7 19
29 28 8 15
29 30 7 2
29 38 9 1
29 39 9 14
29 40 2 1
30 29 8 9
30 31 8 13
30 39 6 1
30 40 1 20
30 41 2 16
31 30 6 10
31 40 7 16
31 41 6 9
32 33 10 17
32 42 8 3
32 43 6 13
33 32 9 20
33 34 2 2
33 42 8 19
33 43 2 9
33 44 9 17
34 33 3 20
34 35 4 17
34 43 9 5
34 44 3 10
34 45 7 4
35 34 7 1
35 36 4 1
35 44 10 4
35 45 7 9
35 46 4 4
36 35 8 9
36 37 10 7
36 45 8 4
36 46 8 18
36 47 9 17
37 36 9 12
37 38 8 6
37 46 2 5
37 47 8 17
37 48 9 16
38 37 3 12
38 39 8 14
38 47 2 14
38 48 2 3
38 49 5 19
39 38 2 2
39 40 6 10
39 48 7 12
39 49 4 20
39 50 6 3
40 39 4 14
40 41 10 8
40 49 2 20
40 50 8 17
40 51 6 4
41 40 6 9
41 50 5 6
41 51 5 15
42 43 1 11
42 52 8 19
42 53 3 19
43 42 3 19
43 44 7 12
43 52 7 6
43 53 1 15
43 54 6 14
44 43 5 13
44 45 5 3
44 53 1 1
44 54 6 8
44 55 4 13
45 44 2 13
45 46 8 1
45 54 6 18
45 55 8 1
45 56 5 20
46 45 3 13
46 47 4 12
46 55 3 15
46 56 4 2
46 57 8 1
47 46 8 14
47 48 1 4
47 56 8 8
47 57 3 16
47 58 3 20
48 47 1 1
48 49 3 2
48 57 10 7
48 58 4 9
48 59 4 7
49 48 7 7
49 50 2 11
49 58 9 16
49 59 9 3
49 60 7 18
50 49 6 10
50 51 4 18
50 59 6 11
50 60 6 2
50 61 10 8
51 50 6 11
51 60 7 9
51 61 3 15
52 53 6 20
52 62 4 7
52 63 10 2
53 52 6 14
53 54 3 5
53 62 8 10
53 63 10 16
53 64 5 8
54 53 1 15
54 55 7 15
54 63 1 14
54 64 9 17
54 65 8 17
55 54 4 1
55 56 10 6
55 64 10 16
55 65 3 1
55 66 8 18
56 55 3 13
56 57 3 5
56 65 6 3
56 66 2 10
56 67 6 3
57 56 10 1
57 58 2 8
57 66 8 6
57 67 7 16
57 68 8 18
58 57 8 6
58 59 1 1
58 67 6 14
58 68 6 13
58 69 7 4
59 58 2 13
59 60 4 17
59 68 4 19
59 69 3 10
59 70 7 13
