22 65 5
1 2 10 651
1 3 6 651
1 4 1 651
1 5 2 651
1 6 9 651
2 7 2 651
2 8 10 651
3 7 1 651
3 8 7 651
3 9 6 651
4 8 8 651
4 9 4 651
4 10 8 651
5 9 1 651
5 10 6 651
5 11 10 651
6 10 2 651
6 11 5 651
7 8 8 651
7 12 9 651
7 13 6 651
8 7 8 651
8 9 6 651
8 12 10 651
8 13 8 651
8 14 3 651
9 8 2 651
9 10 4 651
9 13 2 651
9 14 2 651
9 15 9 651
10 9 5 651
10 11 10 651
10 14 3 651
10 15 5 651
10 16 9 651
11 10 7 651
11 15 10 651
11 16 4 651
12 13 8 651
12 17 10 651
12 18 2 651
13 12 8 651
13 14 6 651
13 17 4 651
13 18 8 651
13 19 10 651
14 13 5 651
14 15 6 651
14 18 1 651
14 19 5 651
14 20 3 651
15 14 10 651
15 16 9 651
15 19 4 651
15 20 4 651
15 21 3 651
16 15 10 651
16 20 5 651
16 21 2 651
17 22 10 651
18 22 5 651
19 22 7 651
20 22 8 651
21 22 10 651
