227 996 7
1 2 43 1
1 3 34 1
1 4 46 5
1 5 2 2
1 6 25 3
1 7 25 4
1 8 20 4
1 9 34 4
1 10 40 4
1 11 14 1
1 12 40 4
1 13 23 3
1 14 36 4
1 15 42 2
1 16 42 5
2 17 6 3
2 18 39 3
3 17 6 4
3 18 42 4
3 19 10 4
4 18 14 3
4 19 19 3
4 20 12 4
5 19 26 1
5 20 29 4
5 21 30 2
6 20 13 1
6 21 49 3
6 22 17 1
7 21 46 3
7 22 10 2
7 23 29 4
8 22 35 5
8 23 24 2
8 24 13 2
9 23 37 4
9 24 6 4
9 25 30 5
10 24 2 5
10 25 26 4
10 26 45 4
11 25 48 1
11 26 44 4
11 27 49 1
12 26 45 2
12 27 26 1
12 28 32 4
13 27 13 5
13 28 38 5
13 29 44 2
14 28 28 5
14 29 17 5
14 30 16 2
15 29 41 3
15 30 13 5
15 31 30 5
16 30 27 3
16 31 43 5
17 18 3 5
17 32 34 2
17 33 19 1
18 17 44 2
18 19 39 3
18 32 44 1
18 33 43 3
18 34 21 4
19 18 18 4
19 20 4 1
19 33 2 3
19 34 23 4
19 35 24 4
20 19 37 3
20 21 27 2
20 34 39 2
20 35 28 3
20 36 7 4
21 20 1 1
21 22 46 2
21 35 4 3
21 36 26 4
21 37 46 1
22 21 1 1
22 23 26 4
22 36 48 3
22 37 46 1
22 38 38 2
23 22 2 2
23 24 23 1
23 37 4 2
23 38 20 4
23 39 41 4
24 23 16 1
24 25 1 1
24 38 30 4
24 39 9 3
24 40 10 3
25 24 16 3
25 26 48 2
25 39 50 1
25 40 3 4
25 41 10 5
26 25 49 1
26 27 24 3
26 40 14 3
26 41 38 3
26 42 40 2
27 26 17 3
27 28 20 4
27 41 34 3
27 42 13 5
27 43 30 2
28 27 49 3
28 29 4 1
28 42 32 4
28 43 47 4
28 44 31 3
29 28 40 3
29 30 25 3
29 43 38 4
29 44 24 2
29 45 45 2
30 29 8 3
30 31 14 5
30 44 16 4
