22 65 3
1 2 4 651
1 3 8 651
1 4 9 651
1 5 2 651
1 6 1 651
2 7 8 651
2 8 5 651
3 7 1 651
3 8 6 651
3 9 4 651
4 8 6 651
4 9 7 651
4 10 6 651
5 9 4 651
5 10 6 651
5 11 7 651
6 10 7 651
6 11 9 651
7 8 3 651
7 12 4 651
7 13 4 651
8 7 9 651
8 9 5 651
8 12 3 651
8 13 3 651
8 14 6 651
9 8 5 651
9 10 6 651
9 13 2 651
9 14 9 651
9 15 6 651
10 9 3 651
10 11 8 651
10 14 7 651
10 15 5 651
10 16 4 651
11 10 5 651
11 15 8 651
11 16 5 651
12 13 2 651
12 17 2 651
12 18 4 651
13 12 7 651
13 14 6 651
13 17 2 651
13 18 4 651
13 19 2 651
14 13 2 651
14 15 9 651
14 18 8 651
14 19 8 651
14 20 4 651
15 14 3 651
15 16 10 651
15 19 8 651
15 20 8 651
15 21 2 651
16 15 4 651
16 20 6 651
16 21 1 651
17 22 6 651
18 22 1 651
19 22 6 651
20 22 3 651
21 22 1 651
