51 188 3
1 2 1 1881
1 3 8 1881
1 4 6 1881
1 5 9 1881
1 6 8 1881
1 7 4 1881
1 8 9 1881
2 9 1 1881
2 10 3 1881
3 9 8 1881
3 10 9 1881
3 11 8 1881
4 10 2 1881
4 11 7 1881
4 12 9 1881
5 11 7 1881
5 12 2 1881
5 13 10 1881
6 12 7 1881
6 13 3 1881
6 14 5 1881
7 13 4 1881
7 14 6 1881
7 15 8 1881
8 14 8 1881
8 15 1 1881
9 10 4 1881
9 16 7 1881
9 17 10 1881
10 9 3 1881
10 11 3 1881
10 16 10 1881
10 17 10 1881
10 18 1 1881
11 10 5 1881
11 12 7 1881
11 17 3 1881
11 18 3 1881
11 19 1 1881
12 11 7 1881
12 13 9 1881
12 18 4 1881
12 19 7 1881
12 20 8 1881
13 12 4 1881
13 14 7 1881
13 19 1 1881
13 20 5 1881
13 21 5 1881
14 13 5 1881
14 15 5 1881
14 20 1 1881
14 21 8 1881
14 22 6 1881
15 14 3 1881
15 21 5 1881
15 22 3 1881
16 17 4 1881
16 23 10 1881
16 24 3 1881
17 16 8 1881
17 18 2 1881
17 23 1 1881
17 24 8 1881
17 25 6 1881
18 17 9 1881
18 19 7 1881
18 24 6 1881
18 25 9 1881
18 26 9 1881
19 18 7 1881
19 20 2 1881
19 25 1 1881
19 26 5 1881
19 27 3 1881
20 19 8 1881
20 21 6 1881
20 26 2 1881
20 27 8 1881
20 28 4 1881
21 20 3 1881
21 22 10 1881
21 27 9 1881
21 28 10 1881
21 29 5 1881
22 21 2 1881
22 28 7 1881
22 29 5 1881
23 24 2 1881
23 30 8 1881
23 31 3 1881
24 23 4 1881
24 25 6 1881
24 30 9 1881
24 31 6 1881
24 32 4 1881
25 24 8 1881
25 26 6 1881
25 31 5 1881
25 32 9 1881
25 33 2 1881
26 25 2 1881
26 27 3 1881
26 32 5 1881
26 33 6 1881
26 34 8 1881
27 26 5 1881
27 28 1 1881
27 33 1 1881
27 34 9 1881
27 35 8 1881
28 27 1 1881
28 29 1 1881
28 34 5 1881
28 35 6 1881
28 36 7 1881
29 28 2 1881
29 35 2 1881
29 36 7 1881
30 31 3 1881
30 37 10 1881
30 38 4 1881
31 30 3 1881
31 32 7 1881
31 37 4 1881
31 38 1 1881
31 39 6 1881
32 31 4 1881
32 33 5 1881
32 38 7 1881
32 39 2 1881
32 40 1 1881
33 32 7 1881
33 34 3 1881
33 39 7 1881
33 40 9 1881
33 41 8 1881
34 33 5 1881
34 35 5 1881
34 40 7 1881
34 41 5 1881
34 42 4 1881
35 34 2 1881
35 36 8 1881
35 41 7 1881
35 42 6 1881
35 43 5 1881
36 35 5 1881
36 42 10 1881
36 43 4 1881
37 38 1 1881
37 44 7 1881
37 45 9 1881
38 37 7 1881
38 39 10 1881
38 44 2 1881
38 45 8 1881
38 46 10 1881
39 38 10 1881
39 40 3 1881
39 45 5 1881
39 46 8 1881
39 47 8 1881
40 39 3 1881
40 41 10 1881
40 46 7 1881
40 47 10 1881
40 48 4 1881
41 40 2 1881
41 42 9 1881
41 47 5 1881
41 48 7 1881
41 49 5 1881
42 41 8 1881
42 43 8 1881
42 48 10 1881
42 49 7 1881
42 50 1 1881
43 42 7 1881
43 49 8 1881
43 50 2 1881
44 51 6 1881
45 51 2 1881
46 51 5 1881
47 51 5 1881
48 51 8 1881
49 51 10 1881
50 51 7 1881
