227 996 7
1 2 33 34
1 3 44 3
1 4 45 19
1 5 8 43
1 6 25 32
1 7 21 26
1 8 49 46
1 9 1 5
1 10 15 13
1 11 40 32
1 12 45 43
1 13 36 27
1 14 5 50
1 15 36 24
1 16 10 4
2 17 36 18
2 18 31 49
3 17 12 32
3 18 20 28
3 19 25 41
4 18 39 31
4 19 7 39
4 20 46 26
5 19 23 9
5 20 28 3
5 21 9 5
6 20 1 50
6 21 11 50
6 22 6 9
7 21 16 15
7 22 11 45
7 23 35 43
8 22 24 48
8 23 43 31
8 24 1 25
9 23 33 21
9 24 31 18
9 25 19 8
10 24 42 8
10 25 21 23
10 26 23 6
11 25 11 37
11 26 38 38
11 27 24 24
12 26 11 1
12 27 21 17
12 28 37 42
13 27 33 45
13 28 6 46
13 29 31 25
14 28 23 10
14 29 46 45
14 30 38 39
15 29 15 33
15 30 34 33
15 31 40 4
16 30 33 49
16 31 13 22
17 18 48 17
17 32 24 12
17 33 44 1
18 17 31 37
18 19 2 47
18 32 27 28
18 33 21 8
18 34 50 15
19 18 47 9
19 20 31 50
19 33 6 34
19 34 25 27
19 35 36 15
20 19 21 3
20 21 10 6
20 34 11 15
20 35 43 7
20 36 18 1
21 20 34 38
21 22 14 39
21 35 50 16
21 36 23 9
21 37 5 39
22 21 17 40
22 23 8 17
22 36 41 18
22 37 11 5
22 38 47 45
23 22 6 4
23 24 29 4
23 37 45 36
23 38 4 49
23 39 25 14
24 23 9 23
24 25 25 29
24 38 31 47
24 39 15 24
24 40 40 18
25 24 15 30
25 26 23 42
25 39 24 3
25 40 34 13
25 41 18 5
26 25 4 33
26 27 42 16
26 40 18 31
26 41 38 31
26 42 45 39
27 26 8 16
27 28 44 10
27 41 20 12
27 42 44 32
27 43 47 49
28 27 2 40
28 29 28 43
28 42 1 3
28 43 43 26
28 44 24 5
29 28 21 10
29 30 30 14
29 43 44 1
29 44 18 42
29 45 18 33
30 29 42 26
30 31 11 41
30 44 36 7
30 45 6 19
30 46 29 29
31 30 32 22
31 45 8 28
31 46 46 36
32 33 28 13
32 47 29 34
32 48 7 18
33 32 14 13
33 34 21 29
33 47 3 22
33 48 28 26
33 49 9 43
34 33 33 26
34 35 22 17
34 48 43 36
34 49 26 15
34 50 25 21
35 34 34 5
35 36 2 25
35 49 25 41
35 50 35 35
35 51 46 28
36 35 4 7
36 37 16 2
36 50 44 2
36 51 46 8
36 52 20 48
37 36 29 39
37 38 43 14
37 51 23 45
37 52 15 2
37 53 20 44
38 37 6 31
38 39 16 30
38 52 48 35
38 53 6 48
38 54 49 27
39 38 7 8
39 40 18 34
39 53 17 17
39 54 47 40
39 55 22 48
40 39 39 5
40 41 2 43
40 54 23 15
40 55 12 37
40 56 4 28
41 40 27 3
41 42 22 9
41 55 8 37
41 56 2 19
41 57 22 29
42 41 16 19
42 43 6 41
42 56 27 31
42 57 42 7
42 58 27 4
43 42 33 20
43 44 50 28
43 57 23 48
43 58 18 41
43 59 29 45
44 43 32 34
44 45 2 46
44 58 1 43
44 59 38 49
44 60 6 31
45 44 29 5
45 46 12 26
45 59 3 3
45 60 47 25
45 61 45 29
46 45 21 18
46 60 33 31
46 61 17 15
47 48 15 19
47 62 41 9
47 63 1 47
48 47 6 2
48 49 11 22
48 62 11 2
48 63 44 34
48 64 10 29
