227 996 7
1 2 5 27
1 3 3 16
1 4 4 10
1 5 1 29
1 6 1 12
1 7 3 29
1 8 5 47
1 9 4 24
1 10 4 27
1 11 4 31
1 12 5 17
1 13 5 10
1 14 5 32
1 15 4 45
1 16 4 49
2 17 1 32
2 18 3 28
3 17 1 37
3 18 4 4
3 19 1 1
4 18 3 20
4 19 1 4
4 20 1 18
5 19 4 26
5 20 4 22
5 21 2 33
6 20 3 20
6 21 5 2
6 22 4 48
7 21 3 26
7 22 2 22
7 23 2 29
8 22 1 47
8 23 4 3
8 24 1 10
9 23 1 43
9 24 2 18
9 25 1 34
10 24 4 28
10 25 4 39
10 26 1 8
11 25 5 36
11 26 3 20
11 27 1 25
12 26 1 15
12 27 3 32
12 28 2 38
13 27 1 13
13 28 4 28
13 29 1 19
14 28 5 2
14 29 3 33
14 30 1 4
15 29 3 23
15 30 5 31
15 31 2 49
16 30 5 43
16 31 5 50
17 18 1 46
17 32 3 28
17 33 1 44
18 17 1 23
18 19 3 40
18 32 3 26
18 33 4 40
18 34 2 39
19 18 1 27
19 20 4 28
19 33 3 46
19 34 4 38
19 35 1 38
20 19 2 19
20 21 4 6
20 34 4 2
20 35 4 37
20 36 1 22
21 20 3 13
21 22 5 20
21 35 1 48
21 36 1 29
21 37 5 41
22 21 5 31
22 23 4 21
22 36 1 48
22 37 3 6
22 38 3 29
23 22 3 46
23 24 1 28
23 37 1 9
23 38 4 14
23 39 2 40
24 23 4 50
24 25 5 35
24 38 1 11
24 39 1 2
24 40 1 41
25 24 3 6
25 26 1 25
25 39 1 22
25 40 3 12
25 41 3 39
26 25 4 4
26 27 4 4
26 40 4 46
26 41 4 9
26 42 2 30
27 26 4 3
27 28 1 27
27 41 1 42
27 42 4 23
27 43 3 28
28 27 2 33
28 29 5 16
28 42 5 30
28 43 1 18
28 44 3 2
29 28 3 47
29 30 1 31
29 43 4 49
29 44 5 12
29 45 4 12
30 29 1 37
30 31 2 12
30 44 3 15
30 45 4 1
30 46 2 44
31 30 3 6
31 45 4 13
31 46 5 11
32 33 2 39
32 47 4 23
32 48 4 6
33 32 2 12
33 34 3 17
33 47 4 6
33 48 5 16
33 49 4 37
34 33 1 4
34 35 2 27
34 48 4 8
34 49 3 4
34 50 4 17
35 34 4 4
35 36 2 23
35 49 3 11
35 50 2 50
35 51 3 32
36 35 3 37
36 37 5 19
36 50 4 29
36 51 5 20
36 52 2 28
