37 126 3
1 2 6 1
1 3 2 7
1 4 6 9
1 5 7 5
1 6 4 6
1 7 6 2
1 8 7 1
2 9 2 1
2 10 9 7
3 9 7 4
3 10 10 6
3 11 3 2
4 10 9 9
4 11 5 5
4 12 5 6
5 11 4 7
5 12 1 7
5 13 2 6
6 12 8 5
6 13 2 3
6 14 9 10
7 13 8 6
7 14 2 6
7 15 9 3
8 14 8 1
8 15 7 7
9 10 10 4
9 16 5 6
9 17 9 4
10 9 3 6
10 11 7 2
10 16 7 8
10 17 7 9
10 18 10 8
11 10 7 4
11 12 3 6
11 17 5 10
11 18 3 7
11 19 6 7
12 11 6 6
12 13 2 10
12 18 7 9
12 19 1 5
12 20 1 8
13 12 4 3
13 14 5 10
13 19 9 10
13 20 3 4
13 21 8 10
14 13 8 3
14 15 1 8
14 20 5 9
14 21 9 5
14 22 2 9
15 14 9 2
15 21 7 7
15 22 3 8
16 17 8 1
16 23 9 6
16 24 10 7
17 16 3 5
17 18 7 6
17 23 1 10
17 24 1 10
17 25 10 8
18 17 8 10
18 19 9 3
18 24 2 8
18 25 1 3
18 26 1 9
19 18 2 4
19 20 1 8
19 25 10 3
19 26 5 1
19 27 7 7
20 19 6 4
20 21 3 4
20 26 5 5
20 27 5 7
20 28 2 1
21 20 6 10
21 22 8 7
21 27 5 8
21 28 1 6
21 29 1 6
22 21 9 4
22 28 5 4
22 29 1 3
23 24 3 4
23 30 8 9
23 31 7 5
24 23 5 7
24 25 8 10
24 30 2 8
24 31 4 8
24 32 2 9
25 24 4 5
25 26 4 1
25 31 5 5
25 32 10 10
25 33 9 10
26 25 6 8
26 27 1 4
26 32 5 6
26 33 10 9
26 34 1 2
27 26 4 2
27 28 10 8
27 33 5 7
27 34 4 10
27 35 4 4
28 27 9 10
28 29 8 5
28 34 7 4
28 35 5 8
28 36 4 7
29 28 9 5
29 35 2 1
29 36 2 10
30 37 1 6
31 37 9 1
32 37 3 10
33 37 5 3
34 37 7 7
35 37 9 5
36 37 9 4
