227 996 7
1 2 4 11
1 3 3 29
1 4 3 50
1 5 2 27
1 6 1 6
1 7 1 49
1 8 3 32
1 9 3 16
1 10 4 1
1 11 1 41
1 12 5 29
1 13 3 40
1 14 5 41
1 15 1 48
1 16 3 30
2 17 4 1
2 18 5 10
3 17 2 13
3 18 3 10
3 19 1 8
4 18 5 19
4 19 3 32
4 20 2 7
5 19 3 26
5 20 4 31
5 21 1 19
6 20 1 39
6 21 3 45
6 22 2 33
7 21 5 25
7 22 5 36
7 23 5 47
8 22 2 29
8 23 4 32
8 24 4 35
9 23 5 3
9 24 4 34
9 25 1 11
10 24 3 36
10 25 3 41
10 26 2 5
11 25 2 15
11 26 3 46
11 27 4 15
12 26 1 1
12 27 2 1
12 28 4 13
13 27 1 31
13 28 4 30
13 29 2 3
14 28 1 9
14 29 1 17
14 30 3 42
15 29 5 45
15 30 4 21
15 31 5 36
16 30 5 5
16 31 4 36
17 18 3 8
17 32 4 38
17 33 3 32
18 17 4 31
18 19 5 11
18 32 5 48
18 33 2 18
18 34 5 23
19 18 5 39
19 20 4 28
19 33 3 48
19 34 5 34
19 35 1 38
20 19 3 5
20 21 3 47
20 34 3 6
20 35 5 6
20 36 3 7
21 20 1 29
21 22 5 11
21 35 2 45
21 36 4 9
21 37 4 13
22 21 1 8
22 23 1 16
22 36 5 38
22 37 3 10
22 38 5 3
23 22 1 21
23 24 4 9
23 37 2 43
23 38 2 4
23 39 5 8
24 23 3 28
24 25 2 47
24 38 5 8
24 39 1 31
24 40 2 40
25 24 5 20
25 26 3 33
25 39 4 3
25 40 5 14
25 41 2 8
26 25 3 50
26 27 2 3
26 40 3 44
26 41 4 21
26 42 3 4
27 26 2 35
27 28 1 44
27 41 2 23
27 42 4 19
27 43 5 37
28 27 3 8
28 29 1 38
28 42 4 43
28 43 1 22
28 44 2 17
29 28 1 9
29 30 1 22
29 43 3 10
29 44 4 19
29 45 3 49
30 29 4 17
30 31 1 16
30 44 1 44
30 45 5 15
30 46 3 39
31 30 5 48
31 45 1 12
31 46 1 50
32 33 4 24
32 47 3 42
32 48 5 12
33 32 2 12
33 34 3 10
33 47 5 48
33 48 5 38
33 49 2 34
34 33 3 4
34 35 5 12
34 48 4 1
34 49 1 23
34 50 4 28
35 34 3 14
35 36 4 22
35 49 5 38
35 50 3 39
35 51 1 33
36 35 3 28
36 37 2 16
36 50 4 34
36 51 4 45
36 52 1 3
37 36 3 32
37 38 3 11
37 51 3 50
37 52 3 35
37 53 3 8
38 37 1 4
38 39 4 37
38 52 3 13
38 53 5 43
38 54 3 30
39 38 2 9
39 40 5 14
39 53 5 27
39 54 3 1
39 55 5 19
40 39 5 4
40 41 2 15
40 54 4 22
40 55 3 7
40 56 1 1
41 40 2 6
41 42 4 27
41 55 4 46
41 56 5 32
41 57 5 33
42 41 1 31
42 43 1 31
42 56 3 13
42 57 3 42
42 58 5 35
43 42 1 32
43 44 3 13
43 57 3 3
43 58 1 38
43 59 2 45
44 43 2 18
44 45 3 35
44 58 2 46
44 59 1 46
44 60 3 33
45 44 3 16
45 46 4 41
45 59 1 26
45 60 4 50
45 61 4 42
46 45 2 15
46 60 1 14
46 61 5 30
47 48 4 9
47 62 1 23
47 63 4 5
48 47 1 38
48 49 5 27
48 62 3 2
48 63 1 3
48 64 5 40
49 48 1 33
49 50 3 24
49 63 3 25
49 64 2 22
49 65 2 17
50 49 2 2
50 51 1 28
50 64 3 17
50 65 1 23
50 66 1 22
51 50 3 48
51 52 2 34
51 65 1 39
51 66 4 9
51 67 5 14
52 51 2 20
52 53 3 44
52 66 3 34
52 67 2 18
52 68 2 13
53 52 1 2
53 54 3 39
53 67 2 24
53 68 4 16
53 69 1 48
54 53 1 19
54 55 3 16
54 68 2 3
54 69 1 19
54 70 2 27
55 54 3 27
55 56 2 40
55 69 2 30
55 70 5 14
55 71 2 21
56 55 3 35
56 57 3 4
56 70 1 33
56 71 4 1
56 72 2 38
57 56 5 22
57 58 4 33
57 71 3 3
57 72 1 17
57 73 3 41
58 57 5 5
58 59 5 3
58 72 1 41
58 73 3 8
58 74 4 3
59 58 4 11
59 60 3 43
59 73 2 14
59 74 4 27
59 75 4 47
60 59 4 28
60 61 4 20
60 74 2 35
60 75 1 38
60 76 5 36
61 60 2 38
61 75 4 11
61 76 3 32
