22 65 3
1 2 4 2
1 3 2 7
1 4 10 1
1 5 7 8
1 6 10 2
2 7 6 6
2 8 6 1
3 7 6 9
3 8 8 2
3 9 5 2
4 8 10 9
4 9 9 9
4 10 5 3
5 9 7 2
5 10 7 6
5 11 8 7
6 10 10 8
6 11 5 7
7 8 6 2
7 12 7 8
7 13 6 3
8 7 3 4
8 9 9 5
8 12 5 3
8 13 8 5
8 14 5 4
9 8 1 3
9 10 8 10
9 13 5 7
9 14 6 5
9 15 9 4
10 9 10 8
10 11 10 9
10 14 5 4
10 15 10 7
10 16 6 8
11 10 5 7
11 15 9 5
11 16 2 7
12 13 10 1
12 17 5 8
12 18 6 6
13 12 9 3
13 14 10 9
13 17 1 9
13 18 4 1
13 19 3 9
14 13 2 1
14 15 4 5
14 18 9 4
14 19 6 6
14 20 3 2
15 14 3 5
15 16 10 4
15 19 4 3
15 20 4 6
15 21 4 4
16 15 7 7
16 20 1 3
16 21 7 6
17 22 4 7
18 22 7 5
19 22 1 7
20 22 1 1
21 22 10 7
