22 65 5
1 2 10 6
1 3 10 7
1 4 6 2
1 5 4 9
1 6 5 5
2 7 3 1
2 8 2 2
3 7 10 5
3 8 3 10
3 9 5 9
4 8 7 10
4 9 9 9
4 10 8 5
5 9 5 1
5 10 1 3
5 11 1 9
6 10 10 6
6 11 1 8
7 8 2 6
7 12 5 8
7 13 6 3
8 7 5 9
8 9 2 5
8 12 7 9
8 13 7 7
8 14 4 3
9 8 8 1
9 10 4 10
9 13 9 2
9 14 5 7
9 15 6 6
10 9 10 1
10 11 7 4
10 14 7 1
10 15 8 1
10 16 1 9
11 10 7 10
11 15 8 8
11 16 6 7
12 13 8 8
12 17 8 1
12 18 9 6
13 12 4 6
13 14 8 7
13 17 6 4
13 18 4 1
13 19 5 4
14 13 4 8
14 15 5 3
14 18 3 3
14 19 4 2
14 20 10 8
15 14 9 6
15 16 5 8
15 19 10 10
15 20 8 5
15 21 2 2
16 15 2 1
16 20 5 8
16 21 5 9
17 22 9 8
18 22 6 5
19 22 5 4
20 22 3 6
21 22 1 3
