37 126 3
1 2 6 2
1 3 3 2
1 4 10 7
1 5 8 6
1 6 1 7
1 7 9 7
1 8 9 7
2 9 6 5
2 10 1 1
3 9 1 10
3 10 2 6
3 11 4 8
4 10 10 5
4 11 6 3
4 12 3 9
5 11 3 3
5 12 9 8
5 13 4 3
6 12 9 1
6 13 4 7
6 14 7 3
7 13 8 6
7 14 3 7
7 15 7 10
8 14 10 8
8 15 7 7
9 10 5 5
9 16 8 9
9 17 9 5
10 9 2 8
10 11 6 10
10 16 2 1
10 17 4 5
10 18 8 1
11 10 9 7
11 12 10 1
11 17 5 10
11 18 6 3
11 19 6 6
12 11 10 1
12 13 7 4
12 18 8 8
12 19 3 1
12 20 4 2
13 12 4 7
13 14 4 5
13 19 9 2
13 20 9 2
13 21 2 8
14 13 2 6
14 15 8 4
14 20 6 10
14 21 7 2
14 22 6 10
15 14 3 6
15 21 2 7
15 22 3 7
16 17 7 9
16 23 8 7
16 24 8 10
17 16 3 5
17 18 5 2
17 23 5 6
17 24 8 1
17 25 6 3
18 17 4 3
18 19 3 6
18 24 1 9
18 25 9 5
18 26 7 6
19 18 4 2
19 20 10 9
19 25 9 9
19 26 4 10
19 27 1 2
20 19 8 4
20 21 2 1
20 26 10 6
20 27 1 7
20 28 1 4
21 20 4 3
21 22 6 7
21 27 7 5
21 28 8 1
21 29 5 5
22 21 5 2
22 28 2 5
22 29 3 9
23 24 4 6
23 30 3 1
23 31 8 5
24 23 1 10
24 25 6 7
24 30 8 1
24 31 3 3
24 32 5 5
25 24 5 4
25 26 4 4
25 31 2 9
25 32 8 6
25 33 7 9
26 25 10 6
26 27 4 8
26 32 2 4
26 33 3 10
26 34 10 4
27 26 6 8
27 28 10 4
27 33 5 7
27 34 7 3
27 35 10 8
28 27 10 2
28 29 2 8
28 34 2 10
28 35 2 4
28 36 8 8
29 28 9 4
29 35 7 8
29 36 4 9
30 37 4 3
31 37 3 5
32 37 9 8
33 37 10 7
34 37 8 7
35 37 7 8
36 37 9 9
