102 416 5
1 2 40 29
1 3 41 29
1 4 17 34
1 5 13 11
1 6 25 3
1 7 24 48
1 8 35 29
1 9 2 16
1 10 42 6
1 11 38 14
2 12 50 44
2 13 26 17
3 12 42 45
3 13 19 10
3 14 30 10
4 13 5 42
4 14 13 8
4 15 26 11
5 14 33 35
5 15 7 36
5 16 39 13
6 15 32 32
6 16 35 24
6 17 43 26
7 16 20 43
7 17 25 30
7 18 44 30
8 17 23 16
8 18 33 24
8 19 16 33
9 18 18 20
9 19 38 32
9 20 35 13
10 19 48 10
10 20 2 44
10 21 7 9
11 20 36 3
11 21 5 13
12 13 11 20
12 22 28 40
12 23 44 35
13 12 5 50
13 14 5 12
13 22 3 9
13 23 1 49
13 24 16 33
14 13 22 37
14 15 23 28
14 23 25 47
14 24 17 50
14 25 30 20
15 14 30 19
15 16 42 15
15 24 28 27
15 25 50 21
15 26 31 28
16 15 19 42
16 17 15 14
16 25 32 44
16 26 35 4
16 27 27 35
17 16 14 4
17 18 30 44
17 26 46 37
17 27 45 48
17 28 6 22
18 17 33 49
18 19 20 22
18 27 26 3
18 28 45 21
18 29 11 22
19 18 10 28
19 20 34 4
19 28 7 17
19 29 19 22
19 30 25 14
20 19 15 38
20 21 16 32
20 29 24 21
20 30 11 44
20 31 43 18
21 20 2 11
21 30 21 12
21 31 31 6
22 23 45 28
22 32 25 8
22 33 25 46
23 22 4 6
23 24 8 44
23 32 18 4
23 33 45 30
23 34 41 21
24 23 10 37
24 25 35 38
24 33 50 17
24 34 28 43
24 35 42 30
25 24 32 43
25 26 21 33
25 34 6 29
25 35 46 3
25 36 47 5
26 25 40 35
26 27 26 48
26 35 50 21
26 36 22 2
26 37 39 22
27 26 8 7
27 28 6 27
27 36 29 5
27 37 18 31
27 38 14 1
28 27 10 38
28 29 19 21
28 37 41 5
28 38 15 31
28 39 36 30
29 28 24 43
29 30 35 18
29 38 27 18
29 39 27 18
29 40 25 39
30 29 48 3
30 31 36 7
30 39 47 26
30 40 18 33
30 41 37 42
31 30 43 35
31 40 48 36
31 41 9 46
32 33 32 46
32 42 33 5
32 43 43 3
33 32 24 7
33 34 49 32
33 42 36 19
33 43 45 18
33 44 15 16
34 33 9 5
34 35 4 12
34 43 18 37
34 44 50 18
34 45 35 22
35 34 7 25
35 36 11 40
35 44 31 27
35 45 9 46
35 46 1 11
36 35 31 5
36 37 24 18
36 45 1 32
36 46 49 8
36 47 50 13
37 36 41 40
37 38 26 49
37 46 42 1
37 47 38 44
