102 416 4
1 2 4925 1339
1 3 678 955
1 4 2441 3830
1 5 5095 2154
1 6 2688 140
1 7 4436 2215
1 8 1795 3726
1 9 240 3698
1 10 2896 3821
1 11 5382 2256
2 12 4201 1332
2 13 3415 2409
3 12 3725 4290
3 13 4889 3294
3 14 1108 4224
4 13 4275 3462
4 14 3268 1847
4 15 2461 3378
5 14 1268 1525
5 15 94 3585
5 16 1961 3822
6 15 3420 1981
6 16 372 962
6 17 4784 2257
7 16 4851 3691
7 17 1860 5282
7 18 85 1441
8 17 76 5272
8 18 4270 224
8 19 10 2535
9 18 2603 1069
9 19 2931 751
9 20 667 612
10 19 3750 464
10 20 3156 1953
10 21 2657 774
11 20 2980 4647
11 21 2166 2723
12 13 4464 2943
12 22 1533 514
12 23 3179 4383
13 12 2849 2612
13 14 4804 4027
13 22 957 3935
13 23 342 1520
13 24 293 4599
14 13 1656 918
14 15 3552 3008
14 23 3736 1915
14 24 1509 1083
14 25 4601 2979
15 14 4635 4460
15 16 1158 1700
15 24 2456 5263
15 25 4036 2322
15 26 2598 1333
16 15 1425 3891
16 17 2841 2625
16 25 1140 3419
16 26 690 1236
16 27 3503 579
17 16 248 1918
17 18 1151 1291
17 26 1638 1293
17 27 4439 2430
17 28 697 3952
18 17 4236 1992
18 19 3213 1994
18 27 2777 5072
18 28 1634 1929
18 29 1687 2610
19 18 4200 4032
19 20 4322 2570
19 28 534 61
19 29 3885 1736
19 30 2893 4124
20 19 2130 4189
20 21 4704 3339
20 29 2631 148
20 30 2773 1137
20 31 2776 3881
21 20 4187 3601
21 30 1133 3603
21 31 1639 3563
22 23 2616 1204
22 32 5192 3624
22 33 1908 2691
23 22 2110 4286
23 24 1076 5195
23 32 4534 3235
23 33 1093 24
23 34 709 3414
24 23 3593 1531
24 25 5221 632
24 33 2143 3852
24 34 3167 3317
24 35 4313 2652
25 24 5361 4293
25 26 2113 4364
25 34 3014 882
25 35 1678 1035
25 36 3172 2103
26 25 1767 749
26 27 4417 4060
